platform,review,rating,tanggal,sentiment,review_clean,aspect_index,aspek
AdaKami,"2025 ngajuin ditolak 2026 ngajuin proses pencairan,jika memang cair saya jaga angsuran ok adakami",5,2026-04-24 17:54:05,Negatif,aju tolak aju proses cair memang cair jaga angsur oke,0,Kecepatan Pencairan & Kemudahan
AdaKami,28/05/26 saya uninstal apk ini karna pngjuan d tolak..,5,2026-05-28 0:34:26,Negatif,uninstal pngjuan tolak,2,Penolakan Pengajuan & Batas Limit
AdaKami,2X ngajuin tp gak d Acc,5,2026-04-02 13:53:39,Negatif,x aju tidak tuju,2,Penolakan Pengajuan & Batas Limit
AdaKami,2x pengajuan malah di tolak kalau sekali lagi ditolak juga gak guna apk ini brrti,2,2026-04-22 22:06:45,Negatif,x aju malah tolak sekali tolak tidak arti,2,Penolakan Pengajuan & Batas Limit
AdaKami,3 bintang saja saya berikan soalnya belum pernah di kasi pinjaman,4,2026-05-09 3:17:12,Negatif,ikan soal belum pernah pinjam,2,Penolakan Pengajuan & Batas Limit
AdaKami,"3 dulu karna proses cair gagal, sdh ada update limit baru tapi prosentase harian mahal 0,30 % perhari. sangat mahal. ini bukan membantu, tapi menyengsarakan. mengapa bunganya sangat tinggi sekali.",2,2026-02-04 21:52:16,Negatif,dulu proses cair gagal baru batas pinjam baru prosentase hari mahal hari mahal bukan bantu sengsara bunga tinggi sekali,3,"Penagihan, Bunga & Cicilan Bulanan"
AdaKami,3 dulu😄 smoga apk nya bagus dan lancar untuk mebantu masyarakat,3,2026-03-29 10:51:06,Positif,dulu moga bagus lancar mebantu masyarakat,0,Kecepatan Pencairan & Kemudahan
AdaKami,3 sja soalnya pinjaman saya di tolak terus,3,2026-03-31 0:50:18,Negatif,soal pinjam tolak,2,Penolakan Pengajuan & Batas Limit
AdaKami,"3x penolakan dan yg ke ke 4 mengajukan lg langsung di setujui , aplikasi lain semua nya nolak bingung juga saya.... angsuran pun gak mahal mantap bunga promo nya sangat rendah",5,2026-02-27 19:43:52,Positif,x tolak aju langsung tuju semua tolak bingung angsur tidak mahal mantap bunga promo rendah,2,Penolakan Pengajuan & Batas Limit
AdaKami,"4 bulan ngajuin selalu di tolak,, bayar tepat waktu padahal,, parah",1,2026-04-22 7:19:48,Negatif,bulan aju selalu tolak bayar tepat waktu padahal parah,2,Penolakan Pengajuan & Batas Limit
AdaKami,5 jam setelah akun baru dibuat langsung bisa cairkan 3 jt. rawan banget kena penipuan. Naikkan waktu yang dibutuhkan untuk mencairkan!,1,2026-04-02 22:30:14,Negatif,jam akun baru langsung cair juta rawan kena tipu naik waktu butuh cair,0,Kecepatan Pencairan & Kemudahan
AdaKami,5 kali ngajuin 5 kali di tolak 😂😂😂😂😂😂👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽,1,2026-04-19 15:49:09,Negatif,kali aju kali tolak,2,Penolakan Pengajuan & Batas Limit
AdaKami,5 kali pengajuan tetap di tolak padahal limit cuma 300.000 heran pertama kali loh padahal pake ini aplikasii dan ga pernah di setujui data udh lengkap bnget bikin kecewA,2,2026-03-03 15:08:37,Negatif,kali aju tetap tolak padahal batas pinjam heran pertama kali padahal tidak pernah tuju data lengkap bikin kecewa,2,Penolakan Pengajuan & Batas Limit
AdaKami,"aaaa bagus banget aplikasi pinjaman online ini, sangat sangat membantu sekali. Terimakasih kak 🤗🥰👍🏻😇",5,2026-03-17 14:42:55,Positif,aaaa bagus pinjam online bantu sekali terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,"acc cepat ❤️❤️❤️❤️❤️🥰🥰 ty tapi klw dh lunas smua , aku gk telat bayar, malah drop limit bkn y tetap [ berharap y sih naik ] kaya sebelah. aku drop in bintang y dn pindh ke yg lain. dn gk promosi in ke yg lain. bila saling bth kn . aku akan share & promosi kn ke para usaha kecil rumahan mau kasih ☆☆☆ gk bisa so sad",5,2026-04-26 4:45:41,Negatif,tuju cepat terima lunas semua tidak lambat bayar malah drop batas pinjam bukan iya tetap harap iya naik belah drop in iya pindh tidak promosi in bila saling butuh promosi usaha kecil rumah tidak sok sad,2,Penolakan Pengajuan & Batas Limit
AdaKami,"ACC CPT gak ribett ,mntap",5,2026-05-25 16:57:50,Positif,tuju cepat tidak ribett mntap,2,Penolakan Pengajuan & Batas Limit
AdaKami,"acc via gopay berhasil, acc via apk gagal. apk gbloek",1,2026-04-01 12:51:52,Negatif,tuju via gopay hasil tuju via gagal gbloek,2,Penolakan Pengajuan & Batas Limit
AdaKami,ada biaya tambahan yh luar biasa besare,1,2026-05-11 1:10:29,Negatif,biaya tambah luar biasa besare,3,"Penagihan, Bunga & Cicilan Bulanan"
AdaKami,"ada download hari ini tanggal 2 april 2026, terus di uninstal 2026 juga karna tidak di setujui pengajuan nya ,,, saya berharap data saya di hapus kan dan tidak di salah gunakan karna saya tidak ada pinjaman mohon kerja sama nya",3,2026-04-01 17:13:39,Negatif,unduh hari tanggal april uninstal tidak tuju aju harap data hapus tidak salah tidak pinjam mohon kerja sama,1,Keamanan Data & Permasalahan Akun
AdaKami,ada japri tapi tetep ditolak 👍👍,1,2026-04-22 6:46:55,Negatif,japri tetap tolak,2,Penolakan Pengajuan & Batas Limit
AdaKami,ada kami .keuren saya berterimakasih pokonamah wel,5,2026-05-08 14:44:27,Positif,keuren berterimakasih pokonamah well,0,Kecepatan Pencairan & Kemudahan
AdaKami,ada kami adalah solusi terbaik buat saya semoga pinjaman berikutnya dapat disetujui terima kasih ada kami,5,2026-04-16 9:59:28,Positif,solusi baik moga pinjam ikut tuju terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,"ada kami aplaksi pinjamana paling keren, sangat aman nyaman karna telah berijin dan di awasi ojk keren deh",5,2026-06-07 9:25:27,Positif,aplaksi pinjamana paling keren aman nyaman berijin awas otoritas jasa uang keren,0,Kecepatan Pencairan & Kemudahan
AdaKami,"ada kami benaran solusi mrmbantu banget,sanggat amanah,rekomen banget pinjam disini",5,2026-05-11 21:54:37,Positif,benar solusi mrmbantu amanah rekomen pinjam sini,0,Kecepatan Pencairan & Kemudahan
AdaKami,"ada kami itu bagus ,cuman limit pinjaman nya teelalu sedikit jadi kurang cukup untuk modal usaha dan suku bunga terlalu tinggi menurut saya,",4,2026-01-24 8:00:19,Negatif,bagus batas pinjam pinjam teelalu sedikit kurang cukup modal usaha suku bunga terlalu tinggi turut,0,Kecepatan Pencairan & Kemudahan
AdaKami,ada kami memang bagus prosesnya cepat,5,2026-05-10 3:25:42,Positif,memang bagus proses cepat,0,Kecepatan Pencairan & Kemudahan
AdaKami,"ada kami memang selalu bisa di andalkan,terima kasih ada kami",5,2026-06-03 13:43:38,Positif,memang selalu andal terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,ada kami memang sy akui pinjol paling mantap tp kalau bs limit nya agak bsr biar bs utk modal usaha,5,2026-04-09 12:52:48,Positif,memang pinjam online paling mantap batas pinjam besar biar modal usaha,0,Kecepatan Pencairan & Kemudahan
AdaKami,ada kami membantu sekali cicilan ringan waktunya pun panjang pokonya sangat sangat membantu,5,2026-04-13 7:52:58,Positif,bantu sekali cicil ringan waktu panjang pokok bantu,0,Kecepatan Pencairan & Kemudahan
AdaKami,ada kami sangat bantu di saat kita sedang butuh dana darurat. proses pengajuan cepat langsung cair ke rekening.,5,2026-06-07 18:55:13,Positif,bantu sedang butuh dana darurat proses aju cepat langsung cair rekening,0,Kecepatan Pencairan & Kemudahan
AdaKami,"ada kami sangat membantu disaat kita sedang membutuhkan,semoga semakin maju buat ada kami",5,2026-06-01 13:33:49,Positif,bantu sedang butuh moga makin maju,0,Kecepatan Pencairan & Kemudahan
AdaKami,"Ada kami sangat membantu,bunga sangat rendah",5,2026-05-06 11:25:47,Positif,bantu bunga rendah,0,Kecepatan Pencairan & Kemudahan
AdaKami,ada kami sangat membatu untuk keperluan apa saja,5,2026-04-14 21:36:29,Positif,batu perlu apa,0,Kecepatan Pencairan & Kemudahan
AdaKami,ada kami sangat rekomendasi Apa yg di paparkan diaplikasinya Sesuai Tenor 6 bln pinjam dibagi 6 plus bunga Sesuai dan dapat terjangkau,5,2026-03-25 9:20:35,Positif,rekomendasi apa papar sesuai jangka waktu bulan pinjam plus bunga sesuai jangkau,0,Kecepatan Pencairan & Kemudahan
AdaKami,"Ada kami sebenarnya pinjamannya cukup bagus lansung cair, tapi kenapa sebelum jatuh tempo saya slalu di telepon, saya sudah bilang tanggal berapa dibayar masih aja setiap hari ditelepon padahal saya tidak pernah telat membayar, jujur ini cukup mengganggu dan buat saya tidak nyaman, mungkin kalo pelanyananya masih kayak gini setelah lunas aplikasinya bkal di uninstall",5,2026-02-24 9:33:53,Negatif,benar pinjam cukup bagus langsung cair belum jatuh tempo selalu telepon tanggal berapa bayar tiap hari telepon padahal tidak pernah lambat bayar jujur cukup ganggu tidak nyaman mungkin pelanyananya begini lunas uninstall,2,Penolakan Pengajuan & Batas Limit
AdaKami,ada kami termasuk aplikasi yg sangat bagus dan. mudah terimakaaih ada kami saya merasa terbantu sekali dengan aplikasi ada kami pinjam uang ngga pake lama langsung cair cicilan ringan,5,2026-01-08 12:56:47,Positif,masuk bagus mudah terimakaaih rasa bantu sekali pinjam uang tidak lama langsung cair cicil ringan,0,Kecepatan Pencairan & Kemudahan
AdaKami,ada kami tidak bisa menyimpan data orang kenapa saya mau pinjam data saya bisa di pakai orang sedangkan saya belum pernah pinjam dulu pernah mengajukan tapi tidak pernah cair2 ini data saya belum pernah di pakai disini sekarang ada yg pakai,2,2026-03-07 4:54:22,Negatif,tidak simpan data orang pinjam data orang sedang belum pernah pinjam dulu pernah aju tidak pernah cair data belum pernah sini sekarang,2,Penolakan Pengajuan & Batas Limit
AdaKami,ada kmi bejt awas aja data saya di salh gunakan,1,2026-05-08 9:11:58,Negatif,bejt awas data salah,1,Keamanan Data & Permasalahan Akun
AdaKami,ada limit blm tentu di ACC kali ya,3,2026-05-17 6:18:23,Negatif,batas pinjam belum tuju kali,2,Penolakan Pengajuan & Batas Limit
AdaKami,ada limit ga bisa dipake karna terlalu kecil,1,2026-04-22 4:13:43,Negatif,batas pinjam tidak terlalu kecil,2,Penolakan Pengajuan & Batas Limit
AdaKami,"ada limit pas ngajuin di tolak, kok kocag banget",1,2026-06-04 13:07:51,Negatif,batas pinjam aju tolak kocag,2,Penolakan Pengajuan & Batas Limit
AdaKami,ada limit tapi gagal peminjaman,4,2026-04-11 4:06:08,Negatif,batas pinjam gagal pinjam,2,Penolakan Pengajuan & Batas Limit
AdaKami,ada limit tp cm pajangan doang tetep aj ditolak,1,2026-04-12 16:12:43,Negatif,batas pinjam pajang doang tetap tolak,2,Penolakan Pengajuan & Batas Limit
AdaKami,"ada yg wa mengatasnamankan apk ini, dan mengirim link, ko bisa nomor hp saya tersebar, gak aman bearti ini perlindungan datanya",1,2026-06-01 8:01:05,Negatif,wa mengatasnamankan kirim link nomor handphone sebar tidak aman arti lindung data,1,Keamanan Data & Permasalahan Akun
AdaKami,"adakami adlh platform pinjol legal terbaik mm menurut saya, Krn masih bnyk pinjol legal lain yg curang dan tdk transparan.",5,2026-06-06 3:32:02,Positif,platform pinjam online resmi baik mm turut banyak pinjam online resmi curang tidak transparan,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami bagus selalu ada limit buat pinjam lagi kalau kita sudah bayar dan prosesnya juga cepat gak ribet saya sangat terbantu terimakasih adakami sukses selalu 👍,5,2026-04-14 14:23:13,Positif,bagus selalu batas pinjam pinjam bayar proses cepat tidak ribet bantu terima sukses selalu,0,Kecepatan Pencairan & Kemudahan
AdaKami,"adakami bisa diem gak lu, lu kalau mau ngiklan-ngiklan aja, gak usah pake instal otomatis. aplikasi lu tiba-tiba ada di hp gua, pdahal gua kagak niatan instal, iklan pinjol yg lain kagak ada yg kaya lu, cuma ngiklan doang, plis deh gak semua org harus ngutang ya! maksa amat nyari nasabah.",1,2026-03-11 12:49:59,Negatif,diam tidak kamu kamu ngiklan ngiklan tidak usah instal otomatis kamu tiba tiba handphone padahal tidak niat instal iklan pinjam online tidak kamu ngiklan doang tidak semua orang utang paksa cari nasabah,3,"Penagihan, Bunga & Cicilan Bulanan"
AdaKami,adakami bisa nggak jgn tlp2 kalo belum jatuh tempo. dan satu lagi jgn banyak pertanyaan kalo saya transfer dana ke istri saya. yang penting orang itu bayar nggak lari.,1,2026-04-21 20:33:11,Negatif,enggak jangan telepon belum jatuh tempo satu jangan banyak tanya transfer dana istri penting orang bayar enggak lari,2,Penolakan Pengajuan & Batas Limit
AdaKami,AdaKami cepat cair dan ga pake ribet.,5,2026-04-06 9:32:07,Positif,cepat cair tidak ribet,0,Kecepatan Pencairan & Kemudahan
AdaKami,"AdaKami cukup membantu untuk pinjaman online. Prosesnya cepat, tampilannya rapi, dan syaratnya mudah dipahami. Cocok untuk kebutuhan mendesak.",5,2026-02-06 17:20:02,Positif,cukup bantu pinjam online proses cepat tampil rapi syarat mudah paham cocok butuh desak,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami emang sangat mmbantu proses pinjaman sangat mudah dan cepat cair nya... terimakasih adakami..,5,2026-05-25 13:03:52,Positif,memang mmbantu proses pinjam mudah cepat cair terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami karaywan nya semuanya gada itikad baik nagih utang ratusan ribu tapi ngerendahin kehidupan org saya bukan emosi karna di tagih hutang tp emosi karna di rendahin,1,2026-05-12 5:22:42,Negatif,karaywan semua tidak itikad baik tagih utang ratus ribu rendah hidup orang bukan emosi tagih hutang emosi rendahin,3,"Penagihan, Bunga & Cicilan Bulanan"
AdaKami,adakami kenapa ya sekarang gak bisa di ambil lagi...padahal selalu rajiin bayar nya,4,2026-05-07 0:37:51,Negatif,sekarang tidak ambil padahal selalu rajiin bayar,2,Penolakan Pengajuan & Batas Limit
AdaKami,"Adakami luar biasa proses cepat dan langsung cair, ahirnya saya bisa terbantu",5,2026-03-15 9:28:14,Positif,luar biasa proses cepat langsung cair akhir bantu,0,Kecepatan Pencairan & Kemudahan
AdaKami,"adakami mantap ,bagus, pinjaman tenor bisa dicicil bayar perbulan. 👍",5,2026-05-11 9:09:14,Positif,mantap bagus pinjam jangka waktu cicil bayar bulan,2,Penolakan Pengajuan & Batas Limit
AdaKami,adakami memang bagus saya uda lama pakai angsuran dari awal sampai akhir fleksibel,5,2026-05-23 11:34:28,Positif,memang bagus lama angsur awal akhir fleksibel,2,Penolakan Pengajuan & Batas Limit
AdaKami,AdaKami memang pinjaman onlaine yang terbaik,5,2026-06-06 13:46:05,Positif,memang pinjam onlaine baik,0,Kecepatan Pencairan & Kemudahan
AdaKami,Adakami memang sangat membantu sekali dengan bunga yang sangat kecil dan langsung cair asalkan SCOR kredit kita bagus dan lancar.terima kasih. ada kami.,5,2026-05-05 7:53:21,Positif,memang bantu sekali bunga kecil langsung cair asal scor kredit bagus lancar terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,"Adakami memang yang terbaik,,,,terima kasih",5,2026-04-06 6:45:38,Positif,memang baik terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,"adakami memng mantap...bila mana tlt, semoga DC nya tdk galak🙏😃",5,2026-05-14 4:07:25,Positif,memng mantap bila mana tlt moga debt collector tidak galak,1,Keamanan Data & Permasalahan Akun
AdaKami,AdaKami pengisian sederhana dan mudah dipahami dantidak ribet,5,2026-05-09 1:38:34,Positif,isi sederhana mudah paham dantidak ribet,0,Kecepatan Pencairan & Kemudahan
AdaKami,Adakami prosesnya cepat gak ribet.. pencairan dananya gak pakai lama.. makasih Adakami,5,2026-05-15 8:47:29,Positif,proses cepat tidak ribet cair dana tidak lama terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami sangat bagus aplikasinya dapat membantu kebutuhan kami,5,2026-03-24 3:08:56,Positif,bagus bantu butuh,0,Kecepatan Pencairan & Kemudahan
AdaKami,"AdaKami sangat luarbiasa, prosesnya sangat mudah dan cepat. terimakasih AdaKami",5,2026-04-26 6:54:18,Positif,luar biasa proses mudah cepat terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,"adakami sangat membantu d saat saya sedang membutuhkan,meskipun ad tagian berjalan, allhamdulilah d setujui, sukses selalu untuk adakami",5,2026-04-09 5:58:22,Positif,bantu sedang butuh meski tagian jalan allhamdulilah tuju sukses selalu,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami sangat membantu disaat saya butuh dana darurat,5,2026-05-10 22:15:29,Positif,bantu butuh dana darurat,0,Kecepatan Pencairan & Kemudahan
AdaKami,AdaKami sangat membantu kebutuhan finansial masyarakat yang semakin hari semakin berat memenuhi kebutuhan hidup. Terima kasih banyak AdaKami.,5,2026-05-30 7:59:23,Positif,bantu butuh finansial masyarakat makin hari makin berat penuh butuh hidup terima banyak,0,Kecepatan Pencairan & Kemudahan
AdaKami,Adakami Sangat membantu kita dalam kebutuhan sehari-hari,5,2026-05-09 3:22:49,Positif,bantu butuh hari hari,0,Kecepatan Pencairan & Kemudahan
AdaKami,"adakami sangat membantu sampe saat ini masih oke lah, penagihan masih sopan via mesin otomatis meskipun dihari jatuh tempo dan belum lewat jatuh tempo, ga kayak RC yang neror via WA 8 nomor berbeda udah kaya maling aja ngubernya dan bahasa yang ga sekolah, pokonya buat AdaKami pertahankan sopan santun dan adabnya, mantaapp...",5,2026-06-07 5:14:28,Positif,bantu oke tagih sopan via mesin otomatis meski hari jatuh tempo belum lewat jatuh tempo tidak rc neror via wa nomor beda maling ngubernya bahasa tidak sekolah pokok tahan sopan santun adab mantap,1,Keamanan Data & Permasalahan Akun
AdaKami,"adakami sangat membantu saya, yang pas lgi butuh untuk berobat",5,2026-04-16 20:57:00,Positif,bantu butuh obat,0,Kecepatan Pencairan & Kemudahan
AdaKami,"AdaKami sangat membantu sekali dalam mengatasi masalah keuangan. Bunganya ringan,aman dan prosesnya mudah.. Terimakasih AdaKami",4,2026-04-07 17:14:52,Positif,bantu sekali atas masalah uang bunga ringan aman proses mudah terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami sangat membantu sekali prosesnya mudah,5,2026-05-11 6:11:46,Positif,bantu sekali proses mudah,0,Kecepatan Pencairan & Kemudahan
AdaKami,"AdaKami sangat membantu sekali, proses nys sangat mudah dan transparan",5,2026-03-01 17:29:54,Positif,bantu sekali proses nys mudah transparan,0,Kecepatan Pencairan & Kemudahan
AdaKami,"Adakami sangat membantu sekali,, lancar terus AdaKami💪🏻",5,2026-04-13 5:30:41,Positif,bantu sekali lancar,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami sangat membantu semoga limit nya bertambah terus,4,2026-03-13 4:16:41,Positif,bantu moga batas pinjam tambah,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami sangat membantu untuk kebutuhan dadakan,5,2026-04-12 7:11:45,Positif,bantu butuh dada,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami sangat membantu untuk kebutuhan rmh terimakasih adakami..,5,2026-04-06 14:33:01,Positif,bantu butuh rumah terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,"adakami sangat membantu, prosesnya cepat ga ribet",5,2026-05-23 4:23:58,Positif,bantu proses cepat tidak ribet,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami sangat membantu.saat kita butuh dana,5,2026-05-31 1:50:33,Positif,bantu butuh dana,0,Kecepatan Pencairan & Kemudahan
AdaKami,AdaKami sangat memuaskan pelanggan. data kami juga aman. Terima Kasih AdaKami,5,2026-03-10 0:11:00,Positif,muas langgan data aman terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami sangat mudah untuk meminjam uang,5,2026-04-22 19:49:34,Positif,mudah pinjam uang,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami sangat profesional dalam bidang pinjaman sangat membantu usaha kecil...tingkat ya adakami selamat dan sukses,5,2026-02-02 8:23:33,Positif,profesional bidang pinjam bantu usaha kecil tingkat selamat sukses,0,Kecepatan Pencairan & Kemudahan
AdaKami,AdaKami selalu update pengkinian terhadap konsumen limit cepat naik dengan kbayar tepat waktu,5,2026-06-02 13:18:44,Positif,selalu baru kini hadap konsumen batas pinjam cepat naik kbayar tepat waktu,2,Penolakan Pengajuan & Batas Limit
AdaKami,adakami semoga lancar sukses terus ya,5,2026-05-25 13:00:44,Positif,moga lancar sukses,0,Kecepatan Pencairan & Kemudahan
AdaKami,"AdaKami Solusi Keuangan & dana darurat, proses Cepat & enggak ribet, Terima kasih AdaKami.",5,2026-01-08 0:04:31,Positif,solusi uang dana darurat proses cepat tidak ribet terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,"adakami sudah gak jelas, cicilan saya bagus, pembayaran tepat waktu. saya ajuin lagi malah ditolak. parahhhhh",1,2026-05-18 12:56:45,Negatif,tidak jelas cicil bagus bayar tepat waktu ajuin malah tolak parahhhhh,2,Penolakan Pengajuan & Batas Limit
AdaKami,"Adakami-pinjaman memberikan solusi saat kita perlu uang,, dengan proses cepat,",5,2026-05-09 2:11:41,Positif,pinjam beri solusi perlu uang proses cepat,0,Kecepatan Pencairan & Kemudahan
AdaKami,"AdaKami, cicilan rendah, kata- katanya sopan dalam mengingatkan nasabah untuk melunasi cicilan. Semoga AdaKami banyak nasabahnya dan jaya terus.",5,2026-03-23 8:48:32,Positif,cicil rendah sopan ingat nasabah lunas cicil moga banyak nasabah jaya,0,Kecepatan Pencairan & Kemudahan
AdaKami,"AdaKami,pinjaman super keren jg mudah pinjamannya,sesuai kemampuan dan kebutuhan kita,selalu jadi yg terbaik buat AdaKami dan menjadi Bank Digital yg baik dan berkembang lebih baik lagi kedepannya,sukses selalu buat AdaKami,terima kasih.",5,2026-06-04 0:02:34,Positif,pinjam super keren mudah pinjam sesuai mampu butuh selalu baik bank digital baik kembang lebih baik depan sukses selalu terima,0,Kecepatan Pencairan & Kemudahan
AdaKami,adakami...TDK pernah mengecewakan.. pokoknya membantu sekali...,5,2026-05-24 3:45:12,Positif,tidak pernah kecewa pokok bantu sekali,2,Penolakan Pengajuan & Batas Limit
AdaKami,admin yang tidak ramah dan pemaksaan,1,2026-06-03 3:37:44,Negatif,administrasi tidak ramah paksa,3,"Penagihan, Bunga & Cicilan Bulanan"
AdaKami,"Aduh, aku baru coba adakami ini buat kebutuhan mendesak. Awalnya ragu, tapi ternyata prosesnya gampang banget, nggak ribet sama sekali! 😍 Pas banget buat yang lagi kepepet butuh pinjaman. Plus, fiturnya lengkap kayak dana dan pinjol gitu, udah nyoba dan puas sama pelayanannya. Mantap sih ini!",5,2026-06-08 3:13:50,Positif,aduh baru coba butuh desak awal ragu nyata proses gampang enggak ribet sama sekali pepet butuh pinjam plus fiturnya lengkap dana pinjam online coba puas sama layan mantap,0,Kecepatan Pencairan & Kemudahan
AdaKami,"Aduh, aplikasi Adakami ini beneran bantu banget waktu butuh dana cepet. Prosesnya gampang banget, ngga ribet seperti pinjol lainnya. Pas aku coba iseng daftar, ternyata verifikasinya kilat! Cocok banget buat yang lagi perlu uang buat hal mendadak, kaya aku waktu itu buat bayar kuliah. 🤙",5,2026-06-02 13:57:36,Positif,aduh benar bantu waktu butuh dana cepat proses gampang tidak ribet pinjam online coba iseng daftar nyata verifikasi kilat cocok perlu uang dadak waktu bayar kuliah,0,Kecepatan Pencairan & Kemudahan
